title,release_date,director,cast
Dracula Untold,2014,Gary Shore,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson, Charles Dance"
Kill the Messenger,2014,Michael Cuesta,"Jeremy Renner, Mary Elizabeth Winstead, Rosemarie DeWitt, Oliver Platt, Paz Vega"
Pride,2014,Matthew Warchus,"Bill Nighy, Imelda Staunton, Paddy Considine, Dominic West, Ben Schnetzer, George MacKay, Andrew Scott, Faye Marsay, Jessica Gunning"
"Judge, The",2014,David Dobkin,"Robert Downey Jr., Robert Duvall, Billy Bob Thornton, Vincent D'Onofrio, Jeremy Strong, Vera Farmiga, Dax Shepard, Leighton Meester"
Left Behind,2014,Vic Armstrong,"Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan, Lea Thompson, Jordin Sparks"
Gone Girl,2014,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Kim Dickens, Missi Pyle, Tyler Perry, Carrie Coon"
"Equalizer, The",2014,Anton Fuqua,"Denzel Washington, Marton Csokas, Chloe Grace Moretz, David Harbour, David Meunier, Melissa Leo, Bill Pullman"
"Boxtrolls, The",2014,"Graham Annable, Anthony Stacchi","(voices) Ben Kingsley, Dee Bradley Baker, Simon Pegg, Toni Collette, Tracy Morgan, Richard Ayoade, Nick Frost, Jared Harris, Elle Fanning, Isaac Hempstead Wright, Steve Blum"
Wimbledon,2004,Richard Loncraine,"Kirsten Dunst, Paul Bettany, Sam Neill, Jon Favreau, Bernard Hill, Eleanor Bron, Austin Nichols"
"Whole Ten Yards, The",2004,Howard Deutch,"Bruce Willis, Matthew Perry, Amanda Peet, Kevin Pollak, Natasha Henstridge, Frank Collison"
Pretty Persuasion,2005,Marcos Siega,"Evan Rachel Wood, Jaime King, Stark Sands, Danny Comden, Selma Blair, Elisabeth Harnois, Jane Krakowski, James Woods, Ron Livingston, Adi Schnall"
"Daytrippers, The",1997,Greg Mattola,"Hope Davis, Pat McNamara, Anne Meara, Parker Posey, Liev Schreiber, Stanley Tucci, Campbell Scott, Marsha Gay Harden"
Brassed Off!,1997,Mark Herman,"Pete Postlethwaite, Mary Healey, Sue Johnston, Stephen Tompkinson, Peter Martin, Philip Jackson, Jim Carter, Ewan McGregor, Tara Fitzgerald, Lill Roughley"
Outsourced,2007,John Jeffcoat,"Josh Hamilton, Ayesha Dharker, Asif Basra, Arjun Mathur, Larry Pine, Matt Smith"
Land of the Dead,2005,George A. Romero,"Simon Baker, John Leguizamo, Asia Argento, Robert Joy, Dennis Hopper, Eugene Clark"
"Dirty Shame, A",2004,John Waters,"Tracey Ullman, Chris Isaak, Johnny Knoxville, Selma Blair, Suzanne Shepherd, Mink Stole"
"Producers, The",2005,Susan Stroman,"Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell, Roger Bart, Gary Beach"
Apollo 13,1995,Ron Howard,"Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinese, Ed Harris, Kathleen Quinlan"
Dr. Dolittle,1998,Betty Thomas,"Eddie Murphy, Kristen Wilson, Oliver Platt, Richard Schiff, Ossie Davis, Jeffrey Tambor, Kyla Pratt, Raven-Symone"
Lawrence of Arabia,,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, Jose Ferrer, Anthony Quayle, Claude Rains"
Total Recall,,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Michael Ironside, Ronny Cox, Sharon Stone"
License to Wed,2007,Ken Kwapis,"Robin Williams, Mandy Moore, John Krasinski, Josh Flitter, Christine Taylor"
Time Bandits,1981,Terry Gilliam,"Craig Warnock, David Rappaport, Kenny Baker, Malcolm Dixon, Mike Edmonds, Jack Purvis, Tiny Ross, David Warner, Sean Connery, Ian Holm, John Cleese, Ralph Richardson, Peter Vaughan, Katherine Helmond, Michael Palin, Shelley Duvall"
Zoom,2006,Peter Hewitt,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin, Kevin Zegers, Kate Mara, Michael Cassidy, Ryan Newman, Rip Torn"
Quarantine,2008,John Erick Dowdle,"Jennifer Carpenter, Steve Harris, Jay Hernandez, Johnathon Schaech, Columbus Short, Rade Serbedzija"
"Straight Story, The",1999,David Lynch,"Richard Farnsworth, Sissy Spacek, Jennifer Edwards, Barbara E. Robertson, John Farley, Harry Dean Stanton"
Dr. Dolittle 2,2001,Steve Carr,"Eddie Murphy, Kristen Wilson, Jeffrey Jones, Kevin Pollak, Raven-Symone, Kyla Pratt, the voices of Steve Zahn, Lisa Kudrow, Norm Macdonald"
El Cid,,Anthony Mann,"Charlton Heston, Sofia Loren, John Fraser, Genevieve Page, Herbert Lom"
"Incredible Hulk, The",2008,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson"
Broken Wings,2004,Nir Bergman,"Orly Silbersatz Banai, Maya Maron, Nitai Gaviratz, Daniel Magon, Eliana Magon, Vladimir Friedman"
My Family,1995,Gregory Nava,"Jimmy Smits, Scott Bakula, Jacob Vargas, Lupe Ontiveros, Constance Marie, Esai Morales, Edward James Olmos, Jenny Gago, Eduardo Lopez Rojas, Mary Steenburgen"
Cloverfield,2008,Matt Reeves,"Michael Stahl-David, Jessica Lucas, Lizzy Caplan, T.J. Miller, Mike Vogel, Odette Yustman"
Harry Potter and the Sorceror's Stone,2001,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Robbie Coltrane, Alan Rickman, Maggie Smith, Ian Hart, John Cleese"
Shoot 'Em Up,2007,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci"
Pride &amp; Prejudice,2005,Joe Wright,"Keira Knightley, Matthew MacFadyen, Donald Sutherland, Brenda Blethyn, Rosamund Pike, Simon Woods, Jena Malone, Judi Dench"
"Happening, The",2008,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley"
"Butterfly Effect, The",2004,"Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, William Lee Scott, Elden Henson, John Patrick Amedori, Eric Stoltz, Logan Lerman"
Hidalgo,2004,Joe Johnston,"Viggo Mortensen, Omar Sharif, Zuleikha Robinson, Adam Alexi-Malle, Louise Lombard, Saïd Taghmaoui, Adoni Maropis"
O.J.: Made in America,2016,Ezra Edelman,"O.J. Simpson, Mark Furhman, F. Lee Bailey, Marcia Clark, Fred Goldman, Peter Hyams, Nicole Brown Simpson, Johnnie Cochran, Robert Shapiro"
Good Time,2017,"Ben Safdie, Josh Safdie","Robert Pattinson, Ben Safdie, Buddy Duress, Jennifer Jason Leigh, Barkhad Abdi, Taliah Webster"
England is Mine,2017,Mark Gill,"Jack Lowden, Jessica Brown Findlay, Jodie Comer, Peter McDonald, Simone Kirby, Katherine Pearce, Vivienne Bell"
Ghost House,2017,Rich Ragsdale,"James Landry Hebert, Scout Taylor-Compton, Michael S. New, Russell Geoffrey Banks, Rich Lee Gray, Mark Boone Junior"
Bushwick,2017,"Cary Murnion, Jonathan Milott","Dave Bautista, Brittany Snow, Angelic Zambrana"
Ingrid Goes West,2017,Matt Spicer,"Aubrey Plaza, Elizabeth Olsen, O’Shea Jackson Jr., Wyatt Russell, Billy Magnussen"
6 Days,2017,Toa Fraser,"Mark Strong, Jamie Bell, Abbie Cornish, Ben Turner, Toby Leach, Martin Shaw, Tim Pigott-Smith"
Shot Caller,2017,Ric Roman Waugh,"Nikolaj Coster-Waldau, John Bernthal, Lake Bell, Omari Hardwick, Benjamin Bratt, Holt McCallany, Jeffrey Donovan"
"Hitman's Bodyguard, The",2017,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung, Salma Hayek, Joaquim de Almeida, Yuri Kolokolnikov"
Logan Lucky,2017,Steven Soderbergh,"Channing Tatum, Hilary Swank, Seth MacFarlane, Katie Holmes, Katherine Waterston, Sebastian Stan, Riley Keough, Daniel Craig, Adam Driver, David Denham"
RRR,2022,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Alia Bhatt, Olivia Morris, Shriya Saran, Ray Stevenson, Alison Doody"
"Man Called Otto, A",2023,Marc Forster,"Tom Hanks, Mariana Trevino, Rachel Keller, Manuel Garcia-Rulfo, Cameron Britton, Mike Birbiglia, Truman Hanks"
I Wanna Dance with Somebody,2023,Kasi Lemmons,"Naomi Ackie, Stanley Tucci, Ashton Sanders, Tamara Tunie, Nafessa Williams, Clarke Peters"
Women Talking,2023,Sarah Polley,"Rooney Mara, Sheila McCarthy, Frances McDormand, Michelle McLeod, Liv McNeil, Kate Hallett, Judith Ivey, Jessie Buckley, Claire Foy, Ben Whishaw"
Living,2023,Oliver Hermanus,"Bill Nighy, Aimee Lou Wood, Jamie Wilkes"
Babylon,2022,Damien Chazelle,"Margot Robbie, Brad Pitt, Diego Calva, Jovan Adepo, Li Jun Li, Jean Smart, Lukas Haas, Eric Roberts, Tobey Maguire"
Avatar: The Way of Water,2022,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Brendan Cowell, Jamie Flatters, Britain Dalton, Trinity Jo-Li Bliss, Jack Champion, Bailey Bass"
Guillermo Del Toro's Pinocchio,2022,"Guillermo del Toro, Mark Gustafson","Gregory Mann, Ewan McGregor, David Bradley, Burn Gorman, Ron Perlman, John Turturro, Finn Wolfhard, Cate Blanchett, Tim Blake Nelson, Christoph Waltz, Tilda Swinton"
Empire of Light,2023,Sam Mendes,"Olivia Colman, Micheal Ward, Colin Firth, Toby Jones"
"Whale, The",2023,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau, Samantha Morton"
Without Remorse,2021,Stefano Sollima,"Michael B. Jordan, Jodie Turner-Smith, Jamie Bell, Guy Pearce, Lauren London"
Limbo,2021,Ben Sharrock,"Amir El-Masry, Vikash Bhai, Kais Nashif"
Mortal Kombat,2021,Simon McQuoid,"Lewis Tan, Ludi Lin, Chin Han, Hiroyuki Sanada, Tadanobu Asano, Mehcad Brooks, Joe Taslim, Josh Lawson, Jessica McNamee, Max Huang"
Street Gang,2021,Marily Agrelo,"Joan Ganz Cooney, Jon Stone, Jim Henson, Joe Raposo, Norman Stiles"
Together Together,2021,Nikole Beckwith,"Ed Helms, Patti Harrison"
Thunder Force,2021,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby"
"Tunnel, The",2021,Pal Oie,"Thorbjorn Harr, Ylva Lyng Fuglerud, Lisa Carlehed, Mikkel Bratt Silset, Peter Forde, Daniel Alexander Skadal, Per Egil Aske, Silje Breivik"
Godzilla vs. Kong,2021,Adam Wingard,"Alexander Skarsgård, Demian Bichir, Kyle Chandler, Lance Reddick, Julian Dennison, Eiza Gonzalez, Shun Oguri, Brian Tyree Henry, Rebecca Hall, Millie Bobby Brown, Kaylee Hottle"
King Kong vs. Godzilla,,Ishiro Honda,"Tadao Takashima, Keji Sahaka, Ichiro Arishama, Yu Fujiki, Mie Hama, Michael Keith"
Nobody,2021,Ilya Naishuller,"Bob Odenkirk, Alexey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon, RZA, Gage Munroe, Paisley Cadorath"
When the Game Stands Tall,2014,Thomas Carter,": Jim Caviezel, Michael Chiklis, Laura Dern, Alexander Ludwig, Matthew Daddario, Clancy Brown"
Are You Here,2014,Matthew Weiner,"Owen Wilson, Zach Galifianakis, Amy Poehler, Laura Ramsey"
If I Stay,2014,R.J. Cutler,"Chloe Grace Moretz, Jamie Blackley, Mireille Enos, Joshua Leonard, Liana Liberato, Stacy Keach"
"Expendables 3, The",2014,Patrick Hughes,"Sylvester Stallone, Kelsey Grammer, Terry Crews, Randy Coture, Dolph Lundgren, Wesley Snipes, Mel Gibson, Arnold Schwarzenegger, Harrison Ford, Jason Statham, Antonio Banderas"
"Giver, The",2014,Phillip Noyce,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgard, Katie Holmes, Odeya Rush, Cameron Monaghan"
Boyhood,2014,Richard Linklater,"Patricia Arquette, Ethan Hawke, Ellar Coltrane, Elijah Smith, Lorelei Linklater"
Teenage Mutant Ninja Turtles,2014,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson, Johnny Knoxville (voice), Pete Ploszek, Noel Fisher, Jeremy Howard"
Into the Storm,2014,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon, Nathan Kress, Alycia Debnam Carey, Arlen Escarpeta, Jeremy Sumpter"
What If,2014,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver, Mackenzie Davis, Rafe Spall"
"Hundred-Foot Journey, The",2014,Lasse Hallstrom,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra"
Men in Black III,2012,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jermaine Clement, Emma Thompson, Michael Stuhlbarg, Alice Eve"
"Intouchables, The",2012,"Olivier Nakache, Eric Toldeano","Francois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Hysteria,2012,Tanya Wexler,"Hugh Dancy, Maggie Gyllenhaal, Jonathan Pryce, Felicity Jones, Rupert Everett"
"Dictator, The",2012,Larry Charles,"Sacha Baron Cohen, Anna Faris, Jason Mantzoukas, Ben Kingsley"
Battleship,2012,Peter Berg,"Taylor Kitsch, Alexander Skarsgard, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson, Peter MacNicol, Gregory D. Gadson"
Hick,2012,Derick Martini,"Chloe Grace Moretz, Eddie Redmayne, Blake Lively, Alec Baldwin, Juliette Lewis, Rory Culkin, Anson Mount"
Dark Shadows,2012,Tim Burton,"Johnny Depp, Christopher Lee, Chloe Grace Moretz, Bella Heathcote, Jonny Lee Miller, Jackie Earle Haley, Eva Green, Helena Bonham Carter, Michelle Pfeiffer, Alice Cooper"
God Bless America,2012,Bobcat Goldthwait,"Joel Murray, Tara Lynne Barr"
"Best Exotic Marigold Hotel, The",2012,John Madden,"Judi Dench, Tom Wilkinson, Bill Nighy Penelope Wilson, Maggie Smith, Ronald Pickup, Celia Imrie, Dev Patel, Tena Desae, Lillete Dubey"
"Avengers, The",2012,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Samuel L. Jackson, Clark Gregg"
Amelia,2009,Mira Nair,"Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston"
Cirque du Freak: The Vampire's Assistant,2009,Paul Weitz,"Chris Massoglia, Salma Hayek, Willem Dafoe, Ken Watanabe, Ray Stevenson, Patrick Fugit, Jessica Carlson, John C. Reilly, Josh Hutcherson, Michael Cerveris"
"Education, An",2009,Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Alfred Molina, Cara Seymour, Dominic Cooper, Rosamund Pike, Olivia Williams, Emma Thompson, Sally Hawkins"
Antichrist,2009,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg"
Law Abiding Citizen,2009,F. Gary Gray,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb"
Where the Wild Things Are,2009,Spike Jonze,"Max Records, Catherine Keener; voices: James Gandolfini, Lauren Ambrose, Paul Dano, Catherine O'Hara, Forest Whitaker, Chris Cooper, Michael Berry Jr."
"New York, I Love You",2009,"Fatih Akin, Yvan Attal, Allen Hughes, Shunji Iwai, Jiang Wen, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner, Randall Balsmeyer","Shia LaBeouf, Andy Garcia, Christina Ricci, Hayden Christensen, Robin Wright Penn, Maggie Q, Chris Cooper, James Caan, Orlando Bloom, Natalie Portman, Julie Christie"
Paranormal Activity,2009,Oren Peli,"Katie Featherston, Micah Sloat"
Couples Retreat,2009,Peter Billingsley,"Vince Vaughn, Jean Reno, Carlos Ponce, Kali Hawk, Kristin Davis, Kristen Bell, Malin Akerman, Jon Favreau, Faizon Love, Jason Bateman, Temuera Morrison"
Coco before Chanel,2009,Anne Fontaine,"Audrey Tautou, Benoit Poelvoorde, Alessandro Nivola, Marie Gillain, Emmanuelle Devos"
"Rundown, The",2003,Peter Berg,"The Rock, Seann William Scott, Rosario Dawson, Christopher Walken, Ewen Bremner"
Godzilla,,Ishirô Honda,"Akira Takarada, Momoko Kochi, Akihiko Hirata, Takashi Shimura, Fuyuki Murakami, Sachio Sakai"
3:10 To Yuma,2007,James Mangold,"Christian Bale, Russell Crowe, Peter Fonda, Ben Foster, Logan Lerman, Gretchen Mol"
Finding Forrester,2000,Gus Van Sant,"Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin, April Grace, Busta Rhymes"
"Good Night, and Good Luck",2005,George Clooney,"David Strathairn, Robert Downey Jr., Patricia Clarkson, Ray Wise, Frank Langella, Jeff Daniels, George Clooney"
American Teen,2008,Nanette Burstein,"Hannah Bailey, Colin Clemens, Megan Krizmanich, Jake Tusing"
Notorious,2009,George Tillman Jr.,"Jamal Woolard, Derek Luke, Angela Bassett, Naturi Naughton, Christopher Jordan Wallace, Anthony Mackie, Antonique Smith"
Lethal Weapon 4,1998,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Renee Russo, Chris Rock, Jet Li"
Amistad,1997,Steven Spielberg,"Djimon Hounsou, Matthew McConaughey, Morgan Freeman, Anthony Hopkins, Nigel Hawthorne, Stellan Skarsgard, David Paymer, Pete Postlethwaite, Anna Paquin"
Aliens,1986,James Cameron,"Sigourney Weaver, Mark Rolston, Al Matthews, Jenette Goldstein, William Hope, Bill Paxton, Lance Henriksen, Paul Reiser, Michael Biehn, Carrie Henn, Ricco Ross"
"House Bunny, The",2008,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings, Katharine McPhee, Rumer Willis, Kiely Williams, Dana Goodman, Kimberly Makkouk"
"Postman, The (Il Postino)",,Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Linda Moretti"
This Is My Father,,Paul Quinn,"James Caan, Aidan Quinn, Moya Farrelly, Gina Moxley, Jacob Tierney, Donal Donnelly, Maria McDermottroe, Moira Deady, Stephen Rea"
"Very Long Engagement, A",2004,Jean-Pierre Jeunet,"Audrey Tautou, Jean-Pierre Darroussin, Dominique Bettenfeld, Denis Lavant, Chantal Neuwirth, Albert Dupontel, Jérôme Kircher, Clovis Cornillac, Dominique Pinon, Gaspard Ulliel, Marion Cotillard"
"Little Mermaid, The",1989,Ron Clements and John Musker,"(voices) Jodi Benson, Samuel E. Wright, Pat Carroll, Christopher Daniel Barnes, Kenneth"
28 Days Later,2003,Danny Boyle,"Cillian Murphy, Naomie Harris, Noah Huntley, Brendan Gleeson, Megan Burns, Christopher Eccleston"
Good Luck Chuck,2007,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English"
Deck the Halls,2006,John Whitesell,"Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth"
Failure to Launch,2006,Tom Dey,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha, Kathy Bates, Terry Bradshaw, Bradley Cooper"
Legally Blonde,2001,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge, Holland Taylor, Ali Larter"
Wonderland,2003,James Cox,"Val Kilmer, Christina Applegate, Ted Levine, Eric Bogosian, Time Blake Nelson, Franky G, Josh Lucas, Dylan McDermott, Kate Bosworth, Lisa Kudrow, Natasha Gregson Wagner"
Exotica,,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Elias Koteas, Don McKellar, Arsinee Khanijian, Sarah Polley"
Lucky You,2007,Curtis Hanson,"Eric Bana, Drew Barrymore, Robert Duvall, Debra Messing, Charles Martin Smith"
Deal,2008,Gil Cates Jr,"Burt Reynolds, Bret Harrison, Maria Mason, Shannon Elizabeth, Charles Durning, Jennifer Tilly"
My Summer of Love,2005,Pawel Pawlikowski,"Natalie Press, Emily Blunt, Paddy Considine"
Fun with Dick and Jane,2005,Dean Parisot,"Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins"
Freddy Got Fingered,2001,Tom Green,"Tom Green, Rip Torn, Julie Hagerty, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams"
"Iron Giant, The",1999,Brad Bird,"(voices) Eli Marienthal, Vin Diesel, Jennifer Aniston, Harry Connick Jr., Christopher McDonald, James Gammon, M. Emmet Walsh"
Box of Moonlight,1997,Tom DiCillo,"John Turturro, Sam Rockwell, Catherine Keener, Lisa Blount, Annie Corley"
Garden State,2004,Zach Braff,"Zach Braff, Ian Holm, Natalie Portman, Peter Sarsgaard, Ron Liebman, Method Man, Jean Smart"
"Night Listener, The",2006,Patrick Stettner,"Robin Williams, Toni Collette, Bobby Cannavale, Joe Morton, Rory Culkin, Sandra Oh"
Hellboy II: The Golden Army (Spoilers),2008,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander, James Donn, Luke Gross, Anna Walton, Jeffrey Tambor, John Hurt"
Cobb,,Ron Shelton,"Tommy Lee Jones, Robert Wuhl, Lolita Davidovich"
Donnie Brasco,1997,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche"
Hot Fuzz,2007,Edgar Wright,"Simon Pegg, Jim Broadbent, Timothy Dalton, Nick Frost"
Sleuth,,Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine"
Over the Hedge,2006,"Tim Johnson, Karey Kirkpatrick","(voices) Bruce Willis, Allison Janney, Avril Levigne, Catherine O'Hara, Eugene Levy, Nick Nolte, William Shatner, Wanda Sykes, Steve Carell, Garry Shandling, Thomas Hayden Church"
Brideshead Revisited,2008,Julian Jarrold,"Matthew Goode, Hayley Atwell, Ben Whishaw, Emma Thompson, Michael Gambon, Greta Scacchi"
Airplane!,1980,"Jim Abrams, Jerry Zucker, David Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen, Lloyd Bridges, Robert Stack, Peter Graves, Lorna Patterson, Kareem Abdul-Jabaar"
Blue Chips,1994,William Friedkin,"Nick Nolte, Mary McDowell, J.T. Walsh, Alfre Woodard, Shaquille O'Neal, Anfernee Hardaway, Matt Nover"
Magic Mike's Last Dance,2023,Steven Soderbergh,"Channing Tatum, Salma Hayek Pinault, Ayub Khan Din, Jemelia George, Juliette Motamed"
Your Place or Mine,2023,Aline Brosh McKenna,": Reese Witherspoon, Ashton Kutcher, Jesse Williams, Zoe Chao, Wesley Kimmel, Tig Notaro, Steve Zahn"
Knock at the Cabin,2023,M. Night Shyamalan,"Dave Bautista, Jonathan Groff, Ben Aldridge, Nikki Amuka-Bird, Rupert Grint, Abby Quinn, Kristen Cui"
Infinity Pool,2023,Brandon Cronenberg,"Alexander Skarsgård, Mia Goth, Cleopatra Coleman, Jalil Lespert, Thomas Kretschmann"
Missing,2023,"Nick Johnson, Will Merrick","Storm Reid, Nia Long, Ken Leung, Joaquim de Almeida, Megan Suri, Daniel Henney, Amy Landecker, Tim Griffin"
Broker,2023,Hirokazu Kore-eda,"Song Kang-ho, Gang Dong-won, Bae Doona, Lee Ji-eun, Lee Joo-young, Im Seung-soo"
"Alice, Darling",2023,Mary Nighy,"Anna Kendrick, Kaniehiio Horn, Wunmi Mosaku, Charlie Carrick"
Pee-wee's Big Adventure,1985,Tim Burton,
Plane,2023,Jean-Francois Richet,"Gerard Butler, Mike Colter, Daniella Pineda, Tony Goldwyn, Paul Ben-Victor, Evan Dane Taylor, Yoson An"
M3gan,2023,Gerard Johnstone,"Allison Williams, Violet McGraw, Amie Donald, Jen Van Epps, Brian Jordan Alvarez, Ronny Chieng, Jenna Davis"
Diamonds Are Forever,,Guy Hamilton,"Sean Connery, Charles Gray, Jill St. John, Jimmy Dean, Bruce Cabot, Norman Burton, Bernard Lee, Lois Maxwell, Desmond Llewelyn"
Glory Road,2006,James Gartner ,"Josh Lucas, Emily Deschanel, Red West, Schin A.S. Kerr, Sam Jones III, Al Shearer, Damaine Radcliff, Alphonso McAuley, Mechad Brooks, Austin Nichols, Derek Luke, Jon Voight"
